window,n,p_asymptotic,p_calibrated,at_floor
2020-11,12,0.25333008079188785,0.23924760752392477,False
2021-01,7,0.0011951572793375462,0.03795962040379596,False
2021-05,89,1.202216453071776e-07,0.00012999870001299986,False
2021-07,31,0.004371236897021983,0.017579824201757983,False
2022-01,62,0.12493119958800508,0.13424865751342488,False
2022-05,34,0.08954700065309561,0.10743892561074389,False
2022-06,8,1.36216795409872e-19,0.00032999670003299966,False
2022-07,30,0.9527078619467474,0.9421805781942181,False
2022-10,24,0.05260985129351044,0.08147918520814793,False
2023-01,114,0.007445285203195715,0.012949870501294987,False
2023-05,95,3.728399235686207e-09,4.999950000499995e-05,False
2023-07,45,0.06986357196323921,0.08417915820841791,False
2024-04,162,2.3439452203845462e-05,0.0002599974000259997,False
2024-07,42,0.12866507435247776,0.13696863031369685,False
2024-10,66,0.0018604925979647676,0.005789942100578994,False
2025-01,50,0.06375291607746564,0.07594924050759493,False
2025-04,82,2.96234329125356e-06,0.00012999870001299986,False
2025-07,70,0.0010763597772874937,0.0038399616003839962,False
