site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Marulan - OCGT/CCGT,ILW,medium,agree,ILW,medium,ILW,medium,ILW,Illawarra REZ corridor (Dapto/Avon/Wollongong),Marulan,800.0,Turbine - Other,Fossil - Natural Gas Pipeline,EnergyAustralia Marulan Pty Ltd,,,,
Merbein Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,,,,,,,,
Mokoan Solar Farm,CN-VIC,high,agree,CN-VIC,medium,CN-VIC,high,CN-VIC,Central North Victoria REZ corridor (Bendigo/Shepparton),Mokoan,,,,,,,,
Morwell Solar,GIP,medium,no_coord_m1_backstop,GIP,medium,,,GIP,Gippsland REZ corridor (Latrobe Valley 500 kV),Morwell,,,,,,,,
Mulwala Solar Farm,SW-NSW,medium,no_coord_m1_backstop,SW-NSW,medium,,,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Mulwala,25.0,Solar PV - Single axis tracking,Solar - Solar,ESCO Solar Farm 1 Pty Ltd as trustee for the ESCO Solar Farm 1 Trust,,,,
Orana BESS,CWO,medium,no_coord_m1_backstop,CWO,medium,,,CWO,Central-West Orana REZ corridor (Elong Elong/Merotherie/Wollar),Orana,414.85,Storage - Battery,Other - Other,Wellington Battery ProjectCo Pty Ltd,,,,
Riverina Energy Storage System 1,SW-NSW,high,agree,SW-NSW,medium,SW-NSW,high,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Riverina,60.0,Storage - Battery,Other - Other,Shell New Energies Australia Pty Ltd,,,,
Riverina Energy Storage System 2,SW-NSW,high,agree,SW-NSW,medium,SW-NSW,high,SW-NSW,South-West NSW REZ corridor (Buronga/Dinawan/Wagga/PEC),Riverina,65.0,Storage - Battery,Other - Other,RESS 2 Pty Ltd,,,,
Summerfield,MN,high,agree,MN,medium,MN,high,MN,Mid-North SA REZ corridor (Robertstown/Davenport/Cultana),Summerfield,,,,,,,,
Tamar Valley BESS,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),,,,,,,,
Tarraleah Redevelopment,TAS-NW,high,no_coord_m1_backstop,TAS-NW,high,,,TAS-NW,Tasmania single catchment (NW Transmission Devs + Central Highlands hydro) — single user-specified catchment covers all TAS1 sites,(TAS region),200.0,Hydro - Dam,Hydro - Water,HYDROTAS,,,,
Walcha Energy Project - Brackendale North Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
Walcha Energy Project - Brackendale South Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
Walcha Energy Project - Kangaroo Hills Wind Farm,NEW,medium,no_coord_m1_backstop,NEW,medium,,,NEW,New England REZ corridor (Armidale/Tamworth/Dumaresq),Walcha,,,,,,,,
