site_name,catchment,catchment_confidence,merge_rule_applied,method_1_catchment,method_1_confidence,method_2_catchment,method_2_confidence,transmission_catchment,rationale,matched_keyword,best_capacity_mw,technology,fuel,owner,owner_tier,phantom_risk,phantom_flags,notes
Abermain BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,200.0,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0.0,,
Aldi Brendale,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Aldi Brendale,0.931,Solar PV - Fixed,Solar,TBA,tier_3,0.0,,
Aldoga BESS Stage 1,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Aldoga,400.0,Storage - Battery,Other - Other,Acciona Energy Australia Global,tier_1,0.0,,
Aldoga Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Aldoga,535.21,Solar PV - Single axis tracking,Solar - Solar,Acciona Energy Australia Global Pty Ltd,tier_1,0.0,,
Alligator Creek BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,120.0,Storage - Battery,Other - Other,Alligator Creek BESS Pty Ltd,tier_3,0.0,,
Aramara Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,101.4,Solar PV - Single axis tracking,Solar,Aramara Solar Pty Ltd,tier_3,0.0,,
Archer Point Wind Farm,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Archer Point,120.0,Wind Turbine - Onshore,Wind,Wind Power Queensland Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Ardandra Solar Farm And BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,96.99,Solar PV - Single axis tracking,Solar - Solar,Ardandra SF Pty Ltd as trustee for Ardandra SF Trust,tier_3,0.0,,
Baking Board BESS (MMT),WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Baking Board,300.0,Storage - Battery,Other - Other,MMT Projects T/A Renewable Projects Management,tier_3,0.0,,
Baking Board Battery Storage - KCI,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Baking Board,400.0,Storage - Battery,Solar - Solar, Solar Projects Australia Pty Ltd,tier_3,0.0,,
Baking Board Solar Farm,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Baking Board,400.0,,Storage,Solar Projects Australia Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Baking Board Solar Farm (MMT),WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Baking Board,300.0,Solar PV - Fixed,Solar - Solar,MMT Projects T/A Renewable Projects Management,tier_3,0.0,,
Baking Board Solar Farm - KCI,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Baking Board,250.0,Solar PV - Fixed,Solar - Solar, Solar Projects Australia Pty Ltd,tier_3,0.0,,
Baking Board Solar Farm Chinchilla,WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Chinchilla,14.7,Solar PV - Fixed,Solar,Chinchilla Solar Pty Ltd,tier_3,0.0,,
Banana Range Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Banana Range,450.0,Wind Turbine - Onshore,Wind,Orange Creek Energy Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Banksia Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,70.4,Solar PV - Single axis tracking,Solar - Solar,Venn Energy Pty / Banksia Solar Project Pty Ltd,tier_3,0.0,,
Baralaba Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Baralaba,130.0,Solar PV - Fixed,Solar,FRV Services Australia Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Barcaldine Power Station,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Barcaldine,37.0,Turbine - OCGT,Natural Gas Pipeline,Ergon Energy Queensland Pty Ltd,tier_3,0.0,,
Barcaldine Remote Community Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Barcaldine,20.0,Solar PV - Single axis tracking,Solar,Barcaldine Remote Community Solar Farm Pty Ltd,tier_3,0.0,,
Barron Gorge,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Barron Gorge,35.0,Hydro - Run of River,Hydro - Water,CleanCo Queensland Limited,tier_1,0.0,,
Barunggam Solar Battery Farm,WD,medium,no_coord_m1_backstop,WD,medium,,,WD,Western Downs region (judgement call),Barunggam,315.0,,Solar,Ubergy Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Barunggam Solar Battery Farm - Battery - KCI,WD,medium,no_coord_m1_backstop,WD,medium,,,WD,Western Downs region (judgement call),Barunggam,100.0,Storage - Battery,Other - Other, Ubergy Pty Ltd ,tier_3,0.0,,
Barunggam Solar Farm - KCI,WD,medium,no_coord_m1_backstop,WD,medium,,,WD,Western Downs region (judgement call),Barunggam,315.0,Solar PV - Fixed,Solar - Solar, Ubergy Pty Ltd,tier_3,0.0,,
Beebo Battary - KCI,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Beebo,600.0,Storage - Battery,Other - Other,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST,tier_3,1.0,large_tier3,
Beebo Solar Farm - KCI,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Beebo,600.0,Solar PV - Fixed,Solar - Solar,BEEBO SOLAR FARM PTY LTD as Trustee For BEEBO SOLAR FARM UNIT TRUST,tier_3,1.0,large_tier3,
Beelbee Solar Farm,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Beelbee,200.0,Solar PV - Single axis tracking,Solar,Darling Downs Solar Farm Pty Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Big G Pumped Hydro Project,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,800.0,Storage - Pumped hydro,Hydro - Water,BE Power,tier_2,0.0,,
Big T Pumped Hydro Project,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Storage - Pumped hydro,Hydro - Water,BE Power,tier_2,0.0,,
Big-T Project,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,400.0,Storage - Pumped hydro,Water,BE Power,tier_2,2.0,stale_proposed_4plus_releases,
Birkdale,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Birkdale,0.79,Reciprocating Engine - Spark ignition,Renewable Biomass or Waste - Landfill Gas,LMS ENERGY Pty Ltd,tier_3,0.0,,
Blackstone BESS,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,331.2,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0.0,,
Blackstone BESS 2 - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,331.2,Storage - Battery,Other - Other,FIrm Power P/L,tier_3,0.0,,
Blackwater Hybrid System,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Blackwater,270.0,Solar PV - Single axis tracking,Solar - Solar,Blackwater Project Nominees Pty Ltd as trustee for the Blackwater Project Trust,tier_3,2.0,stale_proposed_4plus_releases,
Blackwater Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Blackwater,270.0,,Solar PV,Total Eren,tier_3,0.0,,
Blair Athol Solar Power Station,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Blair Athol,60.0,Solar PV - Fixed,Solar,TerraCom Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Blenheim BESS - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,29.25,Storage - Battery,Solar - Solar, Gatton Solar Farm Pty Ltd,tier_3,0.0,,
Blenheim Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,106.0,,Solar,Gatton Solar Farm Pty Ltd ,tier_3,2.0,stale_proposed_4plus_releases,
Blenheim Solar Farm - KCI,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,106.0,Solar PV - Fixed,Solar - Solar, Gatton Solar Farm Pty Ltd,tier_3,0.0,,
Bluegrass Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bluegrass,148.0,Solar PV - Single axis tracking,Solar,X-Elio Australia Pty Ltd,tier_1,0.0,,
Bluff Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bluff Solar,85.0,Solar PV - Fixed,Solar,Iberdrola Australia Development Pty Ltd,tier_1,1.0,stale_proposed_4plus_releases,
Bogandilla Wind Farm,WD,medium,no_coord_m1_backstop,WD,medium,,,WD,Western Downs region (judgement call),Bogandilla,530.0,Wind Turbine - Onshore,Wind - Wind,RES Australia Pty Ltd,tier_1,0.0,,
Boma Solar Farm,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Boma Solar,15.0,Solar PV - Single axis tracking,Solar,Solis Industria,tier_3,2.0,stale_proposed_4plus_releases,
Boomber Green Energy Hub,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Boomber,1185.6,Wind Turbine - Onshore,Wind - Wind,Boomer Green Energy Hub Pty Ltd (a subsidiary of the Ark Energy Group),tier_2,2.0,manual_known_phantom,
Boomer Green Energy Hub,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Boomer,800.0,Other - Other,Other - Other,ARK Energy Corporation Pty Ltd,tier_2,0.0,,
Borumba,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Borumba,2000.0,Storage - Pumped hydro,Water,Queensland Hydro,tier_1,0.0,,
Borumba Dam Pumped Hydro Energy Storage,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Borumba,1000.0,Storage - Pumped hydro,Water,,unknown,0.0,,
Borumba Pumped Hydro,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Borumba,1998.0,Storage - Pumped hydro,Hydro - Water,Queensland Hydro,tier_1,0.0,,
Boulder Creek Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Boulder Creek,372.0,Wind Turbine - Onshore,Wind,Boulder Creek Wind Farm Pty Ltd as trustee for BCWF Unit Trust ABN and BCWF 2 Pty Limited ,tier_3,0.0,,
Boulder Creek Wind Farm with BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Boulder Creek,466.0,,Wind,Epuron Projects Pty Ltd,tier_3,0.0,,
Bouldercombe Battery,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,100.0,Storage - Battery,Other,Genex Power Limited,tier_1,0.0,,
Bouldercombe Battery project,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,50.0,Storage - Battery,Other,Genex Power Limited,tier_1,0.0,,
Bouldercombe Battery project - Stage 2 - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,50.0,Storage - Battery,Other - Other,Genex Power Limited,tier_1,0.0,,
Bouldercombe North BESS - Quintas,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,400.0,Storage - Battery,Other - Other,Bouldercombe North BESS Pty Ltd,tier_3,0.0,,
Bouldercombe Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,200.0,Solar PV - Fixed,Solar,EEW Eco Energy World Ltd,tier_3,2.0,stale_proposed_4plus_releases,
Bouldercombe Solar Farm + BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,286.0,,Solar,ENEL Green Power Australia Pty Ltd,tier_1,1.0,stale_proposed_4plus_releases,
Bouldercombe Solar Farm - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,286.0,Solar PV - Fixed,Solar - Solar, ENEL Green Power Australia Pty Ltd,tier_1,0.0,,
Bouldercombe Solar Farm BESS - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bouldercombe,150.0,Storage - Battery,Solar - Solar, ENEL Green Power Australia Pty Ltd,tier_1,0.0,,
Bowen Basin Sun Farm - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bowen,130.0,Solar PV - Fixed,Solar - Solar,Bowen Basin Sun Farm Pty Ltd,tier_3,0.0,,
Bowen PHES,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bowen,750.0,Storage - Pumped hydro,Water,Blue Hydro Project Pty Ltd,tier_3,1.0,large_tier3,
Bowen PHES - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bowen,750.0,Hydro - Dam,Hydro - Water, Blue Hydro Project Pty Ltd,tier_3,1.0,large_tier3,
Bracewell Energy Park,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bracewell,500.11,Solar PV - Single axis tracking,Solar - Solar,TE H2 Australia,tier_1,0.0,,
Bracewell Energy Project,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Bracewell,500.11,Solar PV - Single axis tracking,Solar - Solar,TotalEnergies Renewables Australia,tier_3,1.0,large_tier3,
Braemar,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Braemar,188.0,Turbine - OCGT,Coal Seam Methane,Braemar Power Project Pty Ltd,tier_3,0.0,,
Braemar 2 Power Station,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Braemar,173.0,Turbine - OCGT,Coal Seam Methane,NewGen Braemar 2 Partnership comprising Arrow Braemar 2 Pty Ltd and Arrow Southern Generation Pty Ltd,tier_3,0.0,,
Braemar BESS,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Braemar,500.0,Storage - Battery,Other - Other,Braemar Power Project Pty Ltd,tier_3,1.0,large_tier3,
Brampton Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Brampton,58.0,Wind Turbine - Onshore,Wind - Wind,Edify Energy Pty Ltd,tier_2,0.0,,
Bremer Battery 1,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0.0,,
Bremer Battery 2,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0.0,,
Bremer Battery 3,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0.0,,
Bremer Battery 4,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Bremer,212.0,Storage - Battery,Other - Other,Libra Energy Pty Ltd,tier_3,0.0,,
Brendale BESS,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Brendale,204.96,Storage - Battery,Other - Other,Brendale Battery ProjectCo Pty Lt,tier_3,0.0,,
Brigalow GT (Kogan Creek GT),WD,high,no_coord_m1_backstop,WD,high,,,WD,WD substation/Chinchilla corridor,Kogan Creek,400.0,Turbine - OCGT,Fossil - Natural Gas,CSE H2 Pty Ltd,tier_3,0.0,,
Broadlea Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Broadlea,90.0,Solar PV - Single axis tracking,Solar,EEW Eco Energy World,tier_3,2.0,stale_proposed_4plus_releases,
Broadsound Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Broadsound,400.0,Solar PV - Single axis tracking,Solar - Solar,Broadsound Solar Farm Pty Ltd,tier_3,0.0,,
Broadsound_BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Broadsound,240.0,Storage - Battery,Other - Other,Broadsound Solar Farm Pty Ltd,tier_3,0.0,,
Brooyer BESS,WG,high,no_coord_m1_backstop,WG,high,,,WG,Woolooga corridor (Gympie/Maryborough),Brooyer,250.0,,Storage,Res Group,tier_3,0.0,,
Browns Plains,SEQ,high,no_coord_m1_backstop,SEQ,high,,,SEQ,SEQ corridor (Brisbane/Ipswich/Toowoomba),Browns Plains,1.15,Reciprocating Engine - Spark ignition,Landfill Gas,EDL LFG (Qld) Pty Ltd,tier_3,0.0,,
Bulli Creek BESS (Trina),SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,450.0,Storage - Battery,Other - Other,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,tier_3,0.0,,
Bulli Creek Battery,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,400.0,Storage - Battery,Other - Other,Genex Power Limited,tier_1,0.0,,
Bulli Creek Solar Farm,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,1476.0,Solar PV - Single axis tracking,Solar,Genex Power Limited,tier_1,1.0,stale_proposed_4plus_releases,
Bulli Creek Solar Farm (Trina),SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,450.0,Solar PV - Fixed,Solar - Solar,Bulli Creek Hybrid Nominee Pty Ltd on behalf of Bulli Creek Hybrid Trust,tier_3,0.0,,
Bulli Creek Solar Farm – Future Stages,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,1025.0,Solar PV - Single axis tracking,Solar,Solar Choice Pty Ltd,tier_3,1.0,large_tier3,
Bulli Creek Solar Farm – Stage 1,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bulli Creek,475.0,Solar PV - Single axis tracking,Solar,Solar Choice Pty Ltd,tier_3,0.0,,
Bullyard Solar Farm,Unclassified,review,no_coord_m1_backstop,Unclassified,review,,,Unclassified,No rule matched — manual review needed,,97.0,Solar PV - Single axis tracking,Solar,EE Solar 9 Pty Ltd as trustee for the EE Solar 9 Trust,tier_3,0.0,,
Bundaberg Renewable Energy Park,WG,medium,no_coord_m1_backstop,WG,medium,,,WG,Wide Bay region (judgement call),Bundaberg,500.0,Storage - Battery,Other - Other,Bundaberg Renewable Energy Park,tier_3,2.0,manual_known_phantom,
Bundaberg Solar Farm,WG,medium,no_coord_m1_backstop,WG,medium,,,WG,Wide Bay region (judgement call),Bundaberg,78.0,Solar PV - Single axis tracking,Solar - Solar,Bundaberg Development Pty Ltd,tier_3,0.0,,
Bungaban BESS,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Bungaban,350.0,Storage - Battery,Other - Other,Windlab Developments Pty Ltd,tier_2,0.0,,
Bungaban Wind Farm,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Bungaban,1400.0,Wind Turbine - Onshore,Wind - Wind, Windlab Developments Pty Ltd,tier_2,2.0,stale_proposed_4plus_releases,
Bunkers Hill Pumped Hydro,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bunkers Hill Pumped,296.0,Hydro - Dam,Hydro - Water,Pacific Hydro,tier_3,0.0,,
Bunkers Hill Wind Farm,SD,high,no_coord_m1_backstop,SD,high,,,SD,Southern Downs corridor (Karara/Warwick/Bulli Creek),Bunkers Hill Wind,500.0,Wind Turbine - Onshore,Wind - Wind,Pacific Hydro,tier_3,1.0,large_tier3,
Burdekin BESS,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Burdekin,500.4,Storage - Battery,Other - Other,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,tier_3,1.0,large_tier3,
Burdekin Solar Farm,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Burdekin,140.0,,Solar,Ace Power,tier_3,0.0,,
Burdekin Solar Farm - KCI,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Burdekin,140.0,Solar PV - Single axis tracking,Solar - Solar,BURDEKIN SOLAR FARM PTY LTD ATF BURDEKIN GENESIS PROJECT TRUST,tier_3,0.0,,
Burrenbring Wind Farm,DD,medium,no_coord_m1_backstop,DD,medium,,,DD,DD region (Dalby corridor — judgement call),Burrenbring,360.0,Wind Turbine - Onshore,Wind - Wind,Iberdrola Australia Development Pty Limited,tier_1,0.0,,
CQH2 Phase 1 - HPF,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),CQH2,500.0,Other - Other,Other,Stanwell Corporation Ltd,tier_1,0.0,,
Callide B,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,350.0,Turbine - Steam Sub Critical,Black Coal,CS Energy,tier_1,0.0,,
Callide C,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,424.0,Turbine - Steam Super Critical,Black Coal,Joint Venture; Callide Energy Pty Ltd and IG Power (Callide) Ltd. ,tier_3,0.0,,
Callide Energy Hub - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Storage - Battery,Other - Other,CSE BESS P/L,tier_3,0.0,,
Callide Gas Peaker - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,750.0,Turbine - Other,Other - Other,CSE H2 Pty Ltd,tier_3,1.0,large_tier3,
Callide Power Station BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0.0,,
Callide Power Station Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,200.0,Solar PV - Fixed,Solar - Solar,Edify Energy Pty Ltd,tier_2,0.0,,
Callide Solar Power Station BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,210.0,Storage - Battery,Other - Other,Edify Energy Pty Ltd,tier_2,0.0,,
Callide Wind Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,450.0,,Wind,DP Green Energy Pty Limited,tier_3,2.0,stale_proposed_4plus_releases,
Callide Wind Farm - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Callide,450.0,Wind Turbine - Onshore,Wind - Wind, DP Energy Pty Ltd,tier_3,0.0,,
Calliope BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Calliope,300.0,Other - Other,Other - Other,ekuenergy_nr,tier_3,1.0,owner_junk:_NR$; owner_junk:^[a-z],
Caloundra Renewable Energy Facility,WG,medium,no_coord_m1_backstop,WG,medium,,,WG,Wide Bay region (judgement call),Caloundra,0.85,Reciprocating Engine - Spark ignition,Landfill Gas,LMS_NR,tier_3,1.0,owner_junk:_NR$,
Calvale BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Calvale,500.0,Storage - Battery,Other - Other,Lightsource BP,tier_1,0.0,,
Calvale LDES BESS,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Calvale,450.0,Storage - Battery,Other - Other,Released Energy Pty Ltd,tier_3,0.0,,
Calvale Solar Farm,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Calvale,500.0,Solar PV - Fixed,Solar - Solar,Lightsource BP,tier_1,0.0,,
Cape York Battery Power Plant - Solar,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Cape York,54.985,Solar PV - Single axis tracking,Solar,Lyon Solar,tier_3,0.0,,
Cape York Battery Power Plant - Storage,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Cape York,20.0,Storage - Battery,Other,Lyon Solar,tier_3,0.0,,
Capricorn BESS - KCI,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Capricorn,704.0,Storage - Battery,Other - Other,ENEL Green Power Australia,tier_1,0.0,,
Capricornia Energy Hub (CEH) PHES,CQ,high,no_coord_m1_backstop,CQ,high,,,CQ,CQ corridor (Callide/Gladstone/Isaac),Capricorn,750.0,Storage - Pumped hydro,Hydro - Water,CI QLD PHES PTY LTD,tier_3,1.0,large_tier3,
Captains Mountain Wind Farm,DD,high,no_coord_m1_backstop,DD,high,,,DD,Darling Downs corridor (Dalby/Bell),Captains Mountain,403.2,Wind Turbine - Onshore,Wind,vestas_NR,tier_1,1.0,stale_proposed_4plus_releases,
Cattle Creek Wind Farm - KCI,FNQ,high,no_coord_m1_backstop,FNQ,high,,,FNQ,FNQ corridor (Townsville and north),Cattle Creek,798.0,Wind Turbine - Onshore,Wind - Wind,RWE Renewables Australia Pty Ltd,tier_1,1.0,stale_proposed_4plus_releases,
