site_name,region,project_lat,project_lon,project_coord_source,spike_class,expected_catchment,method,transmission_catchment,catchment_confidence,nearest_substation,nearest_substation_rez,distance_km,exclusion_pattern_matched,region_mismatch,notes
Repulse,TAS1,-42.5076954,146.6470435,OSM_plant,,,spatial_join,TAS-NW,high,Cluny,TAS-NW,2.68,,False,
Robbins Island Wind Farm,TAS1,-40.6814,144.9425,osm_plant,,,spatial_join,TAS-NW,medium,Smithton,TAS-NW,24.4,,False,
Rowallan,TAS1,-41.7295505,146.2176625,OSM_plant,,,spatial_join,TAS-NW,medium,Cethana,TAS-NW,28.73,,False,
Rowallan Pumped Hydro Option,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
St Patrick's College Launceston,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
St Patricks Plains Wind Farm,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tamar Valley BESS,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tamar Valley Combined Cycle,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tamar Valley Peaking,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tarraleah,TAS1,-42.3012952,146.457417,OSM_plant,,,spatial_join,TAS-NW,high,Tarraleah,TAS-NW,0.1,,False,
Tarraleah Redevelopment,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tods Corner,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Trevallyn,TAS1,-41.4226295,147.111785,OSM_plant,,,spatial_join,TAS-NW,high,Trevallyn,TAS-NW,0.1,,False,
Triabunna Wind Farm,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tribute,TAS1,-41.8158324,145.6501782,OSM_plant,,,spatial_join,TAS-NW,review,Cethana,TAS-NW,55.03,,False,
Tribute Pumped Hydro Option,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Tungatinah,TAS1,-42.2968068,146.4565925,OSM_plant,,,spatial_join,TAS-NW,high,Tungatinah,TAS-NW,0.13,,False,
Weasel Solar Farm And BESS - KCI,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wesley Vale Solar,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Wesley Vale Solar Farm,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Western Plains Wind Farm,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Whaleback Ridge Wind Farm - KCI,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Woolnorth Studland Bay / Bluff Point,TAS1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
200 Victoria St,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
321 Exhibition Street Trigen,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
990 Latrobe St,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Acacia Offshore Wind Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Aeroten Leongatha Solar,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Alberton Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Altona BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Altona BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ararat SynCon,VIC1,-37.1637,143.2453,proponent_site,,,spatial_join,WV,high,Ararat,WV,0.0,,False,
Ararat Wind Farm,VIC1,-37.2216126,143.0595606,OSM_plant,,,spatial_join,WV,high,Crowlands,WV,13.91,,False,
AusNet Services Deakin University Victoria Geelong PV Plant,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Avonbank Load Connection,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Axedale Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bairnsdale,VIC1,-37.8429187,147.5638557,OSM_plant,,,spatial_join,GIP,high,Bairnsdale,GIP,0.22,,False,
Bairnsdale BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bald Hills Wind Farm,VIC1,-38.7725427,145.940902,OSM_plant,,,spatial_join,GIP,high,Bald Hills,GIP,2.94,,False,
Ballarat,VIC1,-37.5676045,143.919894,OSM_plant,,,spatial_join,WV,high,Ballarat,WV,0.11,,False,
Ballarat Base Hospital,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ballarat Base Hospital Plant,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ballarat Energy Storage System,VIC1,-37.5676045,143.919894,OSM_plant,,,spatial_join,WV,high,Ballarat,WV,0.11,,False,
Ballarat North BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ballarat Renewable Energy Hub,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ballarat Renewable Energy Hub - BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ballarat Renewable Energy Hub - Solar - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Banimboola,VIC1,-36.5343422,147.45934,OSM_plant,,,spatial_join,CN-VIC,high,Dartmouth,CN-VIC,6.02,,False,
Bannerton Solar Park,VIC1,-34.6865391,142.7796722,OSM_plant,,,spatial_join,MR,high,Robinvale,MR,7.31,,False,
Baranduda Electrical Energy Reserve,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Barnawartha Solar & Energy Storage,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bass Strait,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bayswood Timber Hallam VIC,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Beaconhills College Berwick,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ben More,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bendigo,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bennetts Creek BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Berrimal Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Berrybank 1 BESS - Storage - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Berrybank Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Berwick,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Birdwood Energy Reserve,VIC1,-36.1551,146.95016,osm_substation,,,spatial_join,CN-VIC,high,Wodonga,CN-VIC,0.02,,False,
Birdwood Energy Reserve - KCI,VIC1,-36.1551,146.95016,osm_substation,,,spatial_join,CN-VIC,high,Wodonga,CN-VIC,0.02,,False,
Birkins Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Birkins Solar Farm - Hydrogen - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Birkins Solar Farm - Solar - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Birkins Solar Farm - Storage - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Blue Mackerel North Off Shore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bogong / Mackay,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bookaar Solar Farm,VIC1,-38.117,143.11,locality_proxy,,,spatial_join,SW-VIC,medium,Camperdown,SW-VIC,12.84,,False,
Boort Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Boronia Mini Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Boulka Park BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Boulka Park Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bridgewater,VIC1,-38.3625698,141.3868955,OSM_plant,,,spatial_join,SW-VIC,high,Cape Bridgewater,SW-VIC,1.25,,False,
Broadmeadows,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Broken Creek Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Brooklyn,VIC1,-37.8190945,144.8304304,OSM_plant,,,spatial_join,SW-VIC,high,Newport,SW-VIC,6.02,,False,
Brooklyn LFG U1-3,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Bulgana Green Power Hub - BESS,VIC1,-37.0381627,142.9835576,OSM_plant,,,spatial_join,WV,high,Bulgana,WV,0.18,,False,
Bulgana Green Power Hub - Wind Farm,VIC1,-37.1099771,142.9404317,OSM_plant,,,spatial_join,WV,high,Bulgana,WV,9.03,,False,
Bunurong 260 kW Solar PV Bangholme,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
CARINA WEST H2E,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Campbells Forest Solar Farm,VIC1,-36.5794,144.1508,wikipedia,,,spatial_join,CN-VIC,medium,Bendigo,CN-VIC,24.54,,False,
Camperdown  BESS - Quintas,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Camperdown BESS - Quintas,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Cape Winds Offshore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Carag SF,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Cardinia Creek Mini-Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Carisbrook Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Carwarp BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Carwarp Solar Farm - Stage I,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Carwarp Solar Farm - Stage II,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Cedar Meats Solar Geelong,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Challicum Hills,VIC1,-37.3833181,143.1058455,OSM_plant,,,spatial_join,WV,high,Challicum,WV,1.01,,False,
Chepstowe Wind Farm - VIC,VIC1,-37.5959991,143.4951288,OSM_plant,,,spatial_join,WV,medium,Waubra,WV,28.46,,False,
Cherry Tree Wind Farm,VIC1,-37.1020154,145.265823,OSM_plant,,,spatial_join,CN-VIC,high,Seymour,CN-VIC,12.3,,False,
Clayton,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Clover,VIC1,-36.7852566,147.2204664,OSM_plant,,,spatial_join,CN-VIC,high,Clover,CN-VIC,0.11,,False,
Cobden BESS - Quintas,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Codrington Wind Farm,VIC1,-38.2851793,141.9594493,OSM_plant,,,spatial_join,SW-VIC,high,Codrington,SW-VIC,1.8,,False,
Cohuna Solar Farm,VIC1,-35.8868142,144.2178045,OSM_plant,,,spatial_join,MR,high,Cohuna,MR,0.75,,False,
Congupna Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Connewarren BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Connewarren BESS - KCI,VIC1,-38.06327,142.66884,proponent_site,,,spatial_join,SW-VIC,high,Mortlake,SW-VIC,11.27,,False,
Cooba Solar Farm,VIC1,-36.5986,144.678,proponent_site,,,spatial_join,CN-VIC,medium,Fosterville,CN-VIC,21.54,,False,
Cooba Solar Farm - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Coonawarren BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Coonooer Bridge Wind Farm,VIC1,-36.4263842,143.3684837,OSM_plant,,,spatial_join,WV,review,Bulgana,WV,76.01,,False,
Corio,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Corop BESS,VIC1,-36.55,144.9,locality_proxy,,,spatial_join,CN-VIC,medium,Stanhope,CN-VIC,14.42,,False,
Corop Solar Farm,VIC1,-36.55,144.9,locality_proxy,,,spatial_join,CN-VIC,medium,Stanhope,CN-VIC,14.42,,False,
Cranbourne BESS (Macquarie),VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Cranbourne BESS (Macquarie) - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Cranbourne BESS (Maoneng),VIC1,-38.216,145.182,proponent_site,,,spatial_join,SW-VIC,high,Mornington,SW-VIC,9.13,,False,
Crowlands Wind Farm,VIC1,-37.1134035,143.152526,OSM_plant,,,spatial_join,WV,high,Crowlands,WV,0.9,,False,
Crown Melbourne,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Dalvui BESS,VIC1,-38.2331,142.9323,proponent_site,,,spatial_join,SW-VIC,high,Terang,SW-VIC,0.0,,False,
Dandenong PEP,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Darlington Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Darlington Wind Farm - GPG,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Darnum BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Dartmouth,VIC1,-36.5564244,147.5203413,OSM_plant,,,spatial_join,CN-VIC,high,Dartmouth,CN-VIC,0.04,,False,
Deal 1 (West) Off Shore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Deal 2 (East) Off Shore Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Dederang BESS,VIC1,-36.4833,147.0167,proponent_site,,,spatial_join,CN-VIC,high,Dederang,CN-VIC,3.91,,False,
Dederang BESS (Trina),VIC1,-36.4544,146.9919,osm_substation,,,spatial_join,CN-VIC,high,Dederang,CN-VIC,0.0,,False,
Dederang BESS - KCI,VIC1,-36.4833,147.0167,locality_proxy,,,spatial_join,CN-VIC,medium,Dederang,CN-VIC,3.91,,False,
Dederang Big BESS - KCI,VIC1,-36.4544,146.9919,osm_substation,,,spatial_join,CN-VIC,high,Dederang,CN-VIC,0.0,,False,
Deer Park BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Deer Park Battery Energy Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Delburn Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Derby Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Derby Solar Farm & BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Diapur Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Doreen BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Drysdale,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Dundonnell Wind Farm,VIC1,-37.8702986,142.97571,OSM_plant,,,spatial_join,SW-VIC,high,Salt Creek,SW-VIC,18.97,,False,
East Shepparton Renewable Energy Hub,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
East Shepparton Renewable Energy Hub - Battery - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
East Shepparton Renewable Energy Hub - Solar - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Eildon,VIC1,-37.2431229,145.8973504,OSM_plant,,,spatial_join,CN-VIC,high,Eildon,CN-VIC,2.97,,False,
Eildon Pondage Power Station (EPPS),VIC1,-37.2431229,145.8973504,OSM_plant,,,spatial_join,CN-VIC,high,Eildon,CN-VIC,2.97,,False,
Elaine BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Elaine Battery Energy Storage System,VIC1,-37.7667,144.0167,proponent_site,,,spatial_join,WV,high,Elaine,WV,4.01,,False,
Elaine Solar Farm & BESS Hybrid,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Elaine Solar Farm & BESS Hybrid - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Elaine Wind Farm,VIC1,-37.7574232,143.9981905,OSM_plant,,,spatial_join,WV,high,Elaine,WV,3.2,,False,
Epworth Hospital - East Melbourne - Freemasons,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Epworth Hospital - Geelong - Waurn Ponds,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Everleigh Solar Farm & BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ferguson North Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ferguson South Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Ferguson Wind Farm,VIC1,-38.6101142,143.1790894,OSM_plant,,,spatial_join,SW-VIC,medium,Cobden,SW-VIC,31.82,,False,
Flavorite Marketing,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Fosterville SF and BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Frasers Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Fulham Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Fulham Solar Farm And BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GEP - VAGL1,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GEP - VBGL1,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GEP - VPTL2,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GEP - VSIR3,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GEP - VSIR4,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
GV Community Energy,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gannawarra Energy Storage System,VIC1,-35.734202,143.7800636,OSM_plant,,,spatial_join,MR,high,Kerang,MR,14.49,,False,
Gannawarra Solar Farm,VIC1,-35.7291297,143.7831643,OSM_plant,,,spatial_join,MR,high,Kerang,MR,14.4,,False,
Geelong BESS,VIC1,-38.15,144.35,locality_proxy,,,spatial_join,SW-VIC,medium,Geelong,SW-VIC,7.53,,False,
Gippsland A&B - Wind - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gippsland C - Wind - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gippsland Dawn Offshore Wind Project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gippsland offshore wind farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Girgarre Solar Farm,VIC1,-36.4103889,144.9867584,OSM_plant,,,spatial_join,CN-VIC,high,Stanhope,CN-VIC,3.98,,False,
Glenbrae BESS,VIC1,-37.35,143.569,proponent_site,,,spatial_join,WV,high,Waubra,WV,3.34,,False,
Glenmaggie Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Glenrowan BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Glenrowan BESS (KCI),VIC1,-36.49311,146.13313,osm_substation,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,0.09,,False,
Glenrowan BESS - Storage - KCI,VIC1,-36.49311,146.13313,osm_substation,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,0.09,,False,
Glenrowan Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Glenrowan Sun Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Glenrowan West Solar Farm,VIC1,-36.4932068,146.1572525,OSM_plant,,,spatial_join,CN-VIC,high,Glenrowan,CN-VIC,2.23,,False,
Glenrowan West Sun Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gnarwarre BESS Facility,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Gnotuk,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Golden Plains BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Golden Plains Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Golden Plains Wind Farm East,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Golden Plains Wind Farm West,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Goorambat BESS,VIC1,-36.4071,145.9202,locality_proxy,,,spatial_join,CN-VIC,medium,Goorambat,CN-VIC,2.35,,False,
Goorambat BESS (Lighthouse),VIC1,-36.4071,145.9202,locality_proxy,,,spatial_join,CN-VIC,medium,Goorambat,CN-VIC,2.35,,False,
Goorambat East Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Goorambat East Solar Farm (ENGIE),VIC1,-36.4167,145.9167,proponent_site,,,spatial_join,CN-VIC,high,Goorambat,CN-VIC,1.43,,False,
Grahamvale BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Great Eastern Offshore Wind - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Greater Gippsland Offshore Wind,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Greater Gippsland Offshore Wind Project,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Greater Southern Offshore Wind,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Greater Southern Offshore Wind - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
HYMIVC06 Belgrave-Hallam Rd Micro Hydro,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hallam Road,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Halys BESS (X-Elio),VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hastings Generation Site,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Haunted Gully BESS,VIC1,-38.00783,143.31261,proponent_site,,,spatial_join,WV,high,Haunted Gully,WV,0.15,,False,
Haunted Gully BESS - KCI,VIC1,-38.00783,143.31261,proponent_site,,,spatial_join,WV,high,Haunted Gully,WV,0.15,,False,
Hawkesdale BESS - Storage - KCI,VIC1,-38.107,142.322,locality_proxy,,,spatial_join,SW-VIC,medium,Macarthur,SW-VIC,12.94,,False,
Hawkesdale Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hazelwood BESS (Ironwood) - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hazelwood BESS - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hazelwood Battery Energy Storage System (HBESS),VIC1,-38.2718,146.3909,wikipedia,,,spatial_join,GIP,high,Morwell,GIP,2.98,,False,
Hazelwood Battery Energy Storage System Facility,VIC1,-38.25458,146.4137,locality_proxy,,,spatial_join,GIP,medium,Morwell,GIP,0.7,,False,
Hazelwood North Solar Farm - KCI,VIC1,-38.25458,146.4137,locality_proxy,,,spatial_join,GIP,medium,Morwell,GIP,0.7,,False,
Hexham,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Heywood Terminal Station BESS,VIC1,-38.1816,141.6382,osm_substation,,,spatial_join,SW-VIC,medium,Portland,SW-VIC,22.87,,False,
Heywood Terminal Station BESS - KCI,VIC1,-38.1816,141.6382,osm_substation,,,spatial_join,SW-VIC,medium,Portland,SW-VIC,22.87,,False,
Horsham  BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Horsham BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Horsham Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Horsham TS Syncon,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Hume Dam VIC,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Inverleigh Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Inverleigh Wind Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Inverliegh Wind Farm Storage,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
JL King & Co 150kW- Solar-,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Jeeralang A,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Jeeralang B,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Jeeralang BESS (Maoneng),VIC1,-38.27675,146.42461,locality_proxy,,,spatial_join,GIP,medium,Jeeralang,GIP,0.0,,False,
Jeeralang Battery,VIC1,-38.27675,146.42461,proponent_site,,,spatial_join,GIP,high,Jeeralang,GIP,0.0,,False,
Jessica Way Truganina Solar,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Joel BESS,VIC1,-37.037,142.9851,proponent_site,,,spatial_join,WV,high,Bulgana,WV,0.01,,False,
KIEWA VALLEY BESS,VIC1,-36.4544,146.9919,osm_substation,,,spatial_join,CN-VIC,high,Dederang,CN-VIC,0.0,,False,
Karadoc Solar Farm,VIC1,-34.410302,142.2489536,OSM_plant,,,spatial_join,MR,high,Red Cliffs,MR,13.11,,False,
Kentbruck Green Power Hub,VIC1,-38.0872,141.1504,wikipedia,,,spatial_join,SW-VIC,medium,Cape Bridgewater,SW-VIC,37.48,,False,
Kerang BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang BESS (BSR),VIC1,-35.7349,143.9203,locality_proxy,,,spatial_join,MR,medium,Kerang,MR,4.27,,False,
Kerang East Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang East Storage System,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang East Storage System - KCI,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang Hybrid,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang Solar Farm,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kerang Solar Farm Green Switch,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kiamal BESS,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kiamal Solar Farm - Stage 1,VIC1,-35.0214842,142.29806,OSM_plant,,,spatial_join,MR,high,Ouyen,MR,4.43,,False,
Kiamal Solar Farm - Stage 2,VIC1,,,,,,no_coordinate,Unclassified,no_coordinate,,,,,False,
Kiata Wind Farm,VIC1,-36.396047,141.7534941,OSM_plant,,,spatial_join,WV,review,Horsham,WV,57.1,,False,
Koorangie BESS Stage 2,VIC1,-35.85,143.91,manual,prior,MR,spatial_join,MR,high,Kerang,MR,8.97,,False,
