region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
VIC1,Mokoan Solar Farm (LightsourceBP),CN-VIC,medium,Mokoan,CN-VIC,high,Glenrowan,0.9,Y,,,46.0
VIC1,Mologa BESS,CN-VIC,medium,Mologa,MR,medium,Cohuna,31.3,N,boundary_swap,low,250.0
VIC1,Moorabool BESS,SW-VIC,high,Moorabool,SW-VIC,high,Moorabool,0.65,Y,,,300.0
VIC1,Moorabool Wind Farm,SW-VIC,high,Moorabool,SW-VIC,high,Yaloak South,7.4,Y,,,312.0
VIC1,Mornington BESS,SW-VIC,medium,Mornington,SW-VIC,high,Mornington,10.62,Y,,,240.0
VIC1,Mortlake,SW-VIC,high,Mortlake,SW-VIC,high,Mortlake,9.23,Y,,,292.0
VIC1,Mortlake BESS,SW-VIC,high,Mortlake,SW-VIC,high,Mortlake,11.36,Y,,,
VIC1,Mortlake Battery,SW-VIC,high,Mortlake,SW-VIC,high,Mortlake,11.27,Y,,,300.0
VIC1,Mortlake South Wind Farm,SW-VIC,high,Mortlake,SW-VIC,high,Mortlake,9.23,Y,,,157.5
VIC1,Mortons Lane Wind Farm,SW-VIC,medium,Mortons Lane,SW-VIC,high,Mortons Lane,0.57,Y,,,19.5
VIC1,Mount Fyans Wind Farm 2.0,SW-VIC,medium,Mount Fyans,SW-VIC,high,Mortlake,8.95,Y,,,750.0
VIC1,Mt Doran BESS,WV,medium,Mt Doran,WV,high,Elaine,6.13,Y,,,200.0
VIC1,Murra Warra Solar Farm,WV,medium,Murra Warra,WV,medium,Horsham,26.33,Y,,,
VIC1,Murra Warra Wind Farm - stage 1,WV,medium,Murra Warra,WV,medium,Horsham,33.4,Y,,,225.7
VIC1,Murra Warra Wind Farm - stage 2,WV,medium,Murra Warra,WV,medium,Horsham,33.4,Y,,,209.0
VIC1,Murray 1,CN-VIC,medium,Murray 1,MR,high,Murray River,4.75,N,boundary_swap,low,950.0
VIC1,Murray 2,CN-VIC,medium,Murray 2,MR,high,Murray River,2.0,N,boundary_swap,low,600.0
VIC1,Muskerry Solar Power Station - KCI,CN-VIC,medium,Muskerry,CN-VIC,high,Fosterville,17.41,Y,,,200.0
VIC1,Navarre Wind Farm,Unclassified,review,,WV,medium,Bulgana,19.09,N,excluded_method_1,medium,
VIC1,Newport,SW-VIC,medium,Newport,SW-VIC,high,Newport,0.2,Y,,,500.0
VIC1,Newport BESS - KCI,SW-VIC,medium,Newport,SW-VIC,medium,Newport,0.24,Y,,,
VIC1,Newport Battery Energy Storage System,SW-VIC,medium,Newport,SW-VIC,medium,Newport,0.24,Y,,,
VIC1,Nhill Wind Farm,Unclassified,review,,WV,review,Horsham,83.98,N,excluded_method_1,medium,
VIC1,North Yarragon BESS - KCI,GIP,medium,North Yarragon,GIP,medium,Yallourn,25.83,Y,,,210.0
VIC1,Nowingi Solar Farm - Edify (KCI),MR,medium,Nowingi,MR,medium,Hattah,18.36,Y,,,750.0
VIC1,Nowingi Solar Storage - Solar,MR,medium,Nowingi,MR,high,Hattah,18.87,Y,,,250.0
VIC1,Numurkah Solar Farm,CN-VIC,medium,Numurkah,CN-VIC,high,Numurkah,10.33,Y,,,101.08
VIC1,Oaklands Hill Wind Farm,WV,medium,Oaklands Hill,WV,high,Oaklands Hill,0.78,Y,,,67.2
VIC1,Pacific Green Energy Park Portland West,SW-VIC,high,Portland,SW-VIC,high,Portland,0.14,Y,,,1000.0
VIC1,Pine Lodge BESS,CN-VIC,medium,Pine Lodge,CN-VIC,high,Shepparton,11.15,Y,,,250.0
VIC1,Portland BESS,SW-VIC,high,Portland,SW-VIC,high,Portland,0.14,Y,,,
VIC1,Prairie Solar Farm,CN-VIC,medium,Prairie,MR,medium,Cohuna,36.7,N,boundary_swap,low,250.0
VIC1,Puzzle Range Wind Farm,WV,medium,Puzzle Range,CN-VIC,medium,Mansfield,33.04,N,boundary_swap,low,350.0
VIC1,Quandong Solar Farm,MR,medium,Quandong,SW-VIC,medium,Yaloak South,26.38,N,corridor_misread,high,350.0
VIC1,Rangebank BESS,Unclassified,review,,CN-VIC,medium,Springvale,20.11,N,excluded_method_1,medium,200.0
VIC1,Salt Creek Wind Farm,WV,review,Salt Creek Wind Farm,SW-VIC,high,Salt Creek,1.7,N,boundary_swap,low,54.0
VIC1,Somerton,Unclassified,review,,CN-VIC,high,Doreen,16.14,N,excluded_method_1,medium,170.0
VIC1,Springvale Energy Hub - BESS,CN-VIC,medium,Springvale,CN-VIC,medium,Springvale,4.77,Y,,,
VIC1,Stockyard Hill Wind Farm,WV,high,Stockyard Hill,WV,medium,Challicum,26.6,Y,,,456.96
VIC1,Stonehaven Gas Turbines,SW-VIC,medium,Stonehaven,SW-VIC,medium,Geelong,10.88,Y,,,
VIC1,Stonehaven Gas Turbines - KCI,SW-VIC,medium,Stonehaven,SW-VIC,medium,Geelong,10.88,Y,,,220.0
VIC1,Swan Hill Solar Farm 1 Unit 1,MR,medium,Swan Hill,MR,high,Swan Hill,0.54,Y,,,
VIC1,Swan Hill Solar Farm 2 Unit 1,MR,medium,Swan Hill,MR,high,Swan Hill,0.54,Y,,,
VIC1,Tarrone BESS - Storage - KCI,SW-VIC,high,Tarrone,SW-VIC,high,Tarrone,0.03,Y,,,200.0
VIC1,Tarrone GT,SW-VIC,high,Tarrone,SW-VIC,high,Tarrone,0.02,Y,,,600.0
VIC1,Terang Battery Energy Storage System (Tilt Renewables),SW-VIC,medium,Terang,SW-VIC,high,Terang,1.32,Y,,,
VIC1,Thomastown BESS,Unclassified,review,,CN-VIC,high,Campbells Forest,12.75,N,excluded_method_1,medium,300.0
VIC1,Thomastown Terminal Station,Unclassified,review,,CN-VIC,high,Campbells Forest,11.98,N,excluded_method_1,medium,
VIC1,Thomastown Terminal Station - KCI,Unclassified,review,,CN-VIC,high,Campbells Forest,11.98,N,excluded_method_1,medium,
VIC1,Timboon West Wind Farm,SW-VIC,medium,Timboon West,SW-VIC,medium,Cobden,24.4,Y,,,7.2
VIC1,Toora,GIP,medium,Toora,GIP,medium,Bald Hills,36.0,Y,,,21.0
VIC1,Tramway Road BESS,Unclassified,review,,GIP,high,Hazelwood,0.02,N,excluded_method_1,medium,300.0
VIC1,Tulkara Wind Farm,Unclassified,review,,WV,medium,Bulgana,12.12,N,excluded_method_1,medium,
VIC1,Tulkara Wind Farm - KCI,Unclassified,review,,WV,medium,Bulgana,12.12,N,excluded_method_1,medium,
VIC1,Valley Power,GIP,medium,Valley Power,GIP,high,Loy Yang B,1.55,Y,,,50.0
VIC1,Victorian Big Battery,SW-VIC,medium,Victorian Big Battery,SW-VIC,high,Moorabool,0.65,Y,,,300.0
VIC1,Victorian Big Battery 2,SW-VIC,medium,Victorian Big Battery,SW-VIC,high,Moorabool,0.65,Y,,,
VIC1,Victorian Big Battery 2 - Storage - KCI,SW-VIC,medium,Victorian Big Battery,SW-VIC,high,Moorabool,0.65,Y,,,
VIC1,Warrenheip BESS,WV,medium,Warrenheip,WV,high,Ballarat,0.83,Y,,,240.0
VIC1,Watta Wella Wind Farm - KCI,SW-VIC,medium,Watta Wella,WV,high,Bulgana,12.02,N,boundary_swap,low,376.0
VIC1,Waubra,WV,medium,Waubra,WV,high,Waubra,0.78,Y,,,93.0
VIC1,Waubra BESS - KCI,WV,medium,Waubra,WV,high,Waubra,0.7,Y,,,200.0
VIC1,Waubra North Wind Farm,WV,medium,Waubra,WV,medium,Waubra,3.56,Y,,,
VIC1,Wemen Solar Farm,MR,high,Wemen,MR,high,Wemen,2.33,Y,,,97.5
VIC1,West Kiewa,CN-VIC,medium,West Kiewa,CN-VIC,high,West Kiewa,0.01,Y,,,34.0
VIC1,West Mokoan BESS,CN-VIC,medium,West Mokoan,CN-VIC,high,Goorambat,7.19,Y,,,
VIC1,West Mokoan Solar Farm,CN-VIC,medium,West Mokoan,CN-VIC,high,Glenrowan,0.9,Y,,,400.4
VIC1,Wimmera Plains Wind Farm,WV,medium,Wimmera,WV,high,Horsham,19.55,Y,,,
VIC1,Winchelsea Gas Turbines,SW-VIC,medium,Winchelsea,SW-VIC,medium,Winchelsea,1.19,Y,,,
VIC1,Winchelsea Gas Turbines - KCI,SW-VIC,medium,Winchelsea,SW-VIC,medium,Winchelsea,1.19,Y,,,220.0
VIC1,Winton Energy Reserve 1,CN-VIC,medium,Winton,CN-VIC,high,Glenrowan,8.53,Y,,,200.0
VIC1,Winton Solar Farm,CN-VIC,medium,Winton,CN-VIC,high,Glenrowan,1.37,Y,,,85.0
VIC1,Wodonga BESS,CN-VIC,medium,Wodonga,CN-VIC,high,Wodonga,2.92,Y,,,250.0
VIC1,Wollert,CN-VIC,medium,Wollert,CN-VIC,high,Doreen,7.94,Y,,,7.86
VIC1,Wollert Gas Turbine,CN-VIC,medium,Wollert,CN-VIC,medium,Doreen,8.9,Y,,,
VIC1,Wollert Gas Turbine - KCI,CN-VIC,medium,Wollert,CN-VIC,medium,Doreen,8.9,Y,,,600.0
VIC1,Wonthaggi Wind Farm,GIP,medium,Wonthaggi,GIP,high,Wonthaggi,2.74,Y,,,12.0
VIC1,Wooreen Energy Storage System,GIP,medium,Wooreen,GIP,high,Jeeralang,0.22,Y,,,350.0
VIC1,Wunghnu Solar Farm,CN-VIC,medium,Wunghnu,CN-VIC,high,Numurkah,11.77,Y,,,93.5
VIC1,Yallourn 220kV Connection Gas Turbine,GIP,high,Yallourn,GIP,high,Yallourn,1.08,Y,,,
VIC1,Yallourn 220kV Connection Gas Turbine - KCI,GIP,high,Yallourn,GIP,high,Yallourn,1.08,Y,,,
VIC1,Yallourn 500kV Connection Gas Turbine,GIP,high,Yallourn,GIP,high,Yallourn,1.08,Y,,,
VIC1,Yallourn 500kV Connection Gas Turbine - KCI,GIP,high,Yallourn,GIP,high,Yallourn,1.08,Y,,,
VIC1,Yallourn W,GIP,high,Yallourn,GIP,high,Yallourn,0.85,Y,,,375.0
VIC1,Yaloak South Wind Farm,SW-VIC,medium,Yaloak South,SW-VIC,high,Yaloak South,1.52,Y,,,28.7
VIC1,Yambuk,SW-VIC,medium,Yambuk,SW-VIC,high,Yambuk,1.8,Y,,,30.0
VIC1,Yarrawonga,CN-VIC,medium,Yarrawonga,CN-VIC,medium,Goorambat,47.02,Y,,,9.5
VIC1,Yatpool Solar Farm,MR,medium,Yatpool,MR,high,Red Cliffs,12.99,Y,,,50.0
VIC1,Yawong Wind Farm,WV,medium,Yawong,WV,review,Bulgana,70.54,Y,,,7.2
VIC1,Yendon Wind Farm,WV,medium,Yendon,WV,high,Ballarat,11.65,Y,,,144.4
