region,site_name,method_1_catchment,method_1_confidence,method_1_matched_keyword,method_2_catchment,method_2_confidence,method_2_nearest_substation,method_2_distance_km,agree,disagreement_class,disagreement_severity,best_capacity_mw
SA1,Mannum Solar Farm 2,MN,medium,Mannum,MN,high,Mannum,0.44,Y,,,29.99
SA1,Marcollat Energy Hub (Stage 1),SE-SA,medium,Marcollat,SE-SA,review,Keith,52.4,Y,,,400.0
SA1,Marcollat Energy Hub (stage 2),SE-SA,medium,Marcollat,SE-SA,review,Keith,52.4,Y,,,400.0
SA1,Marcollat Energy Hub(Stage 1),SE-SA,medium,Marcollat,SE-SA,review,Keith,52.4,Y,,,
SA1,Morgan Solar,MN,review,Morgan Solar,MN,medium,Bundey,41.75,Y,,,108.0
SA1,Osborne,MN,medium,Osborne,MN,high,Torrens Island,1.19,Y,,,118.0
SA1,Osborne BESS,MN,medium,Osborne,MN,high,Torrens Island,2.18,Y,,,300.0
SA1,Pacific Green Energy Park - Limestone Coast North,SE-SA,medium,Limestone Coast,SE-SA,high,South East,5.58,Y,,,250.0
SA1,Pacific Green Energy Park - Limestone Coast West,SE-SA,medium,Limestone Coast,SE-SA,high,South East,5.58,Y,,,250.0
SA1,Para Hill BESS,MN,high,Para,MN,high,Para,1.9,Y,,,300.0
SA1,Para Substation/Gould Creek BESS,MN,high,Para,MN,medium,Para,1.71,Y,,,
SA1,Pelican Point,MN,medium,Pelican Point,MN,high,Pelican Point,0.15,Y,,,358.0
SA1,Pelican Point BESS,MN,medium,Pelican Point,MN,high,Pelican Point,0.34,Y,,,200.0
SA1,Pelican Point S2,MN,medium,Pelican Point,MN,high,Pelican Point,0.19,Y,,,
SA1,Peterborough Solar Farm,Unclassified,review,,MN,medium,Mount Lock,29.87,N,excluded_method_1,medium,
SA1,Port Augusta Renewable Energy Park - Solar,MN,review,Port Augusta,MN,high,Davenport,4.91,Y,,,99.0
SA1,Port Augusta Renewable Energy Park - Wind,MN,review,Port Augusta,MN,high,Davenport,10.99,Y,,,201.0
SA1,Port Augusta Solar Farm (KCI),MN,review,Port Augusta,EYR,high,Port Augusta,0.0,N,boundary_swap,low,300.0
SA1,Port Pirie,MN,medium,Port Pirie,MN,high,Port Pirie,0.89,Y,,,
SA1,Port Pirie Solar Farm - KCI,MN,medium,Port Pirie,MN,medium,Port Pirie,0.89,Y,,,300.0
SA1,Project Monash - Solar - KCI,RIV,medium,Monash,RIV,high,Monash,3.89,Y,,,375.0
SA1,Quarantine,MN,medium,Quarantine,MN,high,Pelican Point,2.11,Y,,,165.0
SA1,Reeves Plains Power Station BESS,MN,medium,Reeves Plains,MN,high,Templers,15.14,Y,,,250.0
SA1,Riverland Solar Storage - Solar,RIV,high,Riverland,MN,medium,Bundey,42.74,N,boundary_swap,low,330.0
SA1,Robertstown BESS,MN,high,Robertstown,MN,high,Robertstown,5.86,Y,,,400.0
SA1,SSE Whyalla Solar Farm,MN,review,Whyalla,MN,high,Whyalla,2.28,Y,,,
SA1,Snapper Point Power Station,MN,medium,Snapper Point,MN,high,Pelican Point,0.18,Y,,,123.2
SA1,Snowtown Wind Farm,MN,high,Snowtown,MN,high,Snowtown North,1.46,Y,,,98.7
SA1,Starfish Hill,SE-SA,medium,Starfish Hill,MN,review,Port Stanvac,59.86,N,boundary_swap,low,33.0
SA1,Summerfield,MN,medium,Summerfield,MN,high,Mannum,4.44,Y,,,
SA1,Tailem Bend - Solar,SE-SA,high,Tailem Bend,SE-SA,high,Tailem Bend,0.58,Y,,,108.0
SA1,Tailem Bend Stage 3,SE-SA,high,Tailem Bend,SE-SA,medium,Tailem Bend,4.5,Y,,,204.0
SA1,Templers B BESS,MN,high,Templers,MN,medium,Templers,3.27,Y,,,200.0
SA1,Templers BESS,MN,high,Templers,MN,high,Templers,0.33,Y,,,111.0
SA1,Templers BESS - KCI,MN,high,Templers,MN,high,Templers,0.33,Y,,,
SA1,Templers BESS(GreenPower),MN,high,Templers,MN,high,Templers,0.33,Y,,,
SA1,The Solar River Project - Stage 1,MN,medium,Solar River,MN,medium,Bundey,21.66,Y,,,200.0
SA1,The Solar River Project - Stage 2,MN,medium,Solar River,MN,medium,Bundey,21.66,Y,,,200.0
SA1,Torrens Island B,MN,medium,Torrens Island,MN,medium,Torrens Island,0.47,Y,,,200.0
SA1,Tungkillo BESS - KCI,SE-SA,high,Tungkillo,SE-SA,high,Tungkillo,6.23,Y,,,
SA1,Tungkillo South BESS,SE-SA,high,Tungkillo,SE-SA,high,Tungkillo,11.48,Y,,,270.0
SA1,Waterloo Wind Farm,MN,high,Waterloo,MN,high,Waterloo,3.66,Y,,,111.0
SA1,Wattle Point,MN,medium,Wattle Point,MN,high,Wattle Point,1.92,Y,,,90.75
SA1,Whyalla,MN,review,Whyalla,MN,high,Bundey,6.06,Y,,,140.0
SA1,Whyalla BESS,MN,review,Whyalla,MN,high,Whyalla,2.28,Y,,,
SA1,Whyalla BESS - KCI,MN,review,Whyalla,MN,high,Whyalla,2.28,Y,,,100.0
SA1,Whyalla Solar Farm,MN,review,Whyalla,MN,high,Whyalla,2.28,Y,,,
SA1,Willogoleche Wind Farm,MN,medium,Willogoleche,MN,high,Hallett,3.34,Y,,,95.75
SA1,Yoorndoo Ilga Solar - KCI,MN,review,Yoorndoo Ilga,MN,high,Hallett,6.52,Y,,,250.0
SA1,Yumali Wind Farm,SE-SA,medium,Yumali,SE-SA,medium,Tailem Bend,35.64,Y,,,302.0
TAS1,Bastyan,TAS-NW,high,(TAS region),TAS-NW,review,Hampshire Hills,54.34,Y,,,79.9
TAS1,Cattle Hill Wind Farm,TAS-NW,high,(TAS region),TAS-NW,medium,Tungatinah,26.31,Y,,,144.0
TAS1,Cethana,TAS-NW,high,(TAS region),TAS-NW,high,Cethana,0.24,Y,,,85.0
TAS1,Cluny,TAS-NW,high,(TAS region),TAS-NW,high,Cluny,0.13,Y,,,19.0
TAS1,Devils Gate,TAS-NW,high,(TAS region),TAS-NW,high,Sheffield,4.0,Y,,,60.0
TAS1,Fisher,TAS-NW,high,(TAS region),TAS-NW,medium,Cethana,24.32,Y,,,43.2
TAS1,George Town BESS - KCI,TAS-NW,high,(TAS region),TAS-NW,high,George Town,1.64,Y,,,350.0
TAS1,George Town Wind Farm,TAS-NW,high,(TAS region),TAS-NW,high,George Town,1.64,Y,,,232.0
TAS1,Gordon,TAS-NW,high,(TAS region),TAS-NW,review,Butlers Gorge,57.39,Y,,,432.0
