unit,n,n_windows,fano,fano_lo,fano_hi,chi2_stat,p_asymptotic,p_bootstrap,at_floor,tested
Central-Northern NSW,238,18,6.26,2.878,9.608,88.91,9.616529105241807e-12,9.999000099990002e-05,True,True
Southern QLD,108,18,5.471,2.387,7.869,88.02,1.397039882613676e-11,9.999000099990002e-05,True,True
Western Victoria,99,18,6.979,2.626,9.815,125.99,1.1052530609328243e-18,9.999000099990002e-05,True,True
Northern Victoria,88,18,4.93,2.142,7.009,79.55,4.600914674067084e-10,9.999000099990002e-05,True,True
Eastern SA,85,18,3.732,1.393,6.25,65.4,1.3159688649472184e-07,9.999000099990002e-05,True,True
